PackageName,Bandwidth,Price,ConnectionType,BandwidthType,RealIP
H10,10Mbps,500,home,shared,false
H12,12Mbps,600,home,shared,false
H15,15Mbps,700,home,shared,false
H20,20Mbps,800,home,shared,false
H25,25Mbps,1000,home,shared,false
H30,30Mbps,1200,home,shared,false
H40,40Mbps,1500,home,shared,false
H50,50Mbps,1900,home,shared,false
H75,75Mbps,2400,home,shared,false
H100,100Mbps,3500,home,shared,false
H150,150Mbps,4500,home,shared,false
H200,200Mbps,6000,home,shared,false
H250,250Mbps,8800,home,shared,false
